id,item_source,country,publishing_organisations,shorter_title,project_title,project_link_1,subject_theme,subject_theme_2,networked,network_partners,classification,methodology_or_peer_review,classification_rationale,data_type,operative_use,derived_data_product,sources,data_supplier,modality,pub_private,pub_private_both,date
18,sigma,Ukraine,TEXTY.org.ua,What and when Russia shelled in Ukraine,What and when Russia shelled in Ukraine,https://texty.org.ua/projects/107577/under-attack-what-and-when-russia-shelled-ukraine/,War and conflict,NA,NA,NA,Evidentiary,NA,"Before and after shots of the damage from Russian shelling. This story intersects with the other Texty story in this dataset, and references the same methodology",Optical,VIS,NA,Planet,Planet,RGB,Commercial,Commercial,2022-08-18
19,sigma,United Kingdom,BBC News,Is your area vulnerable to extreme heat?,Heat hazards: Is your area vulnerable to extreme heat?,https://www.bbc.co.uk/news/uk-62243280,Human health,Urbanism and infrastructure,yes,4EarthIntelligence,Hybrid,NA,"The project combines the heat hazard index, a data product based on land surface temperatures from 4earthintelligence (a private consultancy by the looks) with administrative datasets. It’s classified as hybrid  because the presented data is an analytical product contributed by a partner rather than developed in house.",TIR,TIR,Heat Hazard Index,Unknown,Unknown,"NIR, TIR",Public,Public,2022-07-18
22,sigma,Canada,CBC/Radio-Canada,Your city's worst heat islands,Here's who lives in your city's worst heat islands,https://ici.radio-canada.ca/info/2022/07/ilots-chaleur-villes-inegalites-injustice-changements-climatiques/en,Human health,Urbanism and infrastructure,yes,Scientists from Environment and Climate Change Canada and Université du Québec à Montréal,Experimental,Technical methodology published,"Land surface temperature estimates are generated from TIR from Landsat 8, then matched with demographic data to analyse relative heat exposure. The data processing appears to be done entirely in house, with expert consultant support from academics",TIR,TIR,NA,Landsat,USGS,TIR,Public,Public,2022-07-13
23,search,Brazil,Ambiental Media,Smoke screen: Fire/deforestation in the Amazon,Smoke screen: Fire/deforestation in the Amazon,https://cortinadefumaca.ambiental.media/en-en-home-english/,Climate and environment,NA,yes,"Rainforest Journalism Fund, Pulitzer Center",Investigative,NA,"The project cross references fire hotspots, fire density, and property classification data.","VIIRS, MODIS, NIR, SWIR","MS, TIR","PRODES, BDQueimadas","Landsat, Sentinel, Aqua, Terra, NOAA, SUOMI-NPP",INPE,"VIS, NIR, SWIR, TIR",Public,Public,2020-09-23
24,search,Germany,ZDF,Braende in der Arktis,Braende in der Arktis,https://zdfheute-stories-scroll.zdf.de/Klimawandel_Arktis_Waldbraende/index.html#CS5-62,Climate and environment,NA,NA,NA,Evidentiary,NA,"FIRMS hotspots are used in a time series analysis to show the increase in fires, and optical images overlaid to show the plumes of smoke. Despite the joining of two sources for this purpose, the story is classified as evidential because the overlaid optical image is a presentation aide rather than an input to an investigative process.","VIIRS, MODIS, Optical","MS, TIR",FIRMS,"NOAA02, Suomi NPP, Terra, Acqua, Sentinel",NASA,"RGB, TIR, SWIR",Public,Public,2020-10-06
26,search,United States,Bloomberg,Maplab: monitoring the invasion of Ukraine,Maplab: monitoring the invasion of Ukraine from outer space,https://www.bloomberg.com/news/newsletters/2022-10-19/maplab-monitoring-the-invasion-of-ukraine-from-outer-space?embedded-checkout=true,War and conflict,NA,NA,NA,Illustrative,NA,"In this showcase piece, the high res optical imagery is itself the story. Srtriking high resolution images of the Ukraine war show how the commercial satellite industry has influenced reporting on the war.",Optical,VIS,NA,"Planet, Maxar","Planet, Maxar",RGB,Commercial,Commercial,2022-10-19
27,search,United States,Bloomberg,Russian ships laundering grain from occupied Ukraine,How Russian Ships Are Laundering Grain Stolen From Occupied Ukraine,https://www.bloomberg.com/graphics/2022-russian-stolen-grains/?srnd=graphics-v2&sref=iyVZPJFL,War and conflict,Shipping and logistics,NA,NA,Investigative,NA,"Bloomberg combines data from harbour and shipping records, ships’n AIS transponders, and high resolution optical imagery from Planet to track illegal grain shipments and observe ship to ship transfers mid-ocean",Optical,VIS,NA,Planet,Planet,RGB,Commercial,Commercial,2022-10-17
28,search,United States,New York Times,Israel’s new front in Gaza,A Satellite View of Israel’s New Front in Gaza,https://www.nytimes.com/interactive/2024/05/08/world/middleeast/israel-incursion-rafah-satellite-image-map.html,War and conflict,NA,NA,NA,Evidentiary,NA,"High resolution images present evidence of recent damage to buildings and infrastructure around the Rafah crossing, including a before-and-after comparison.",Optical,VIS,NA,Planet,Planet,RGB,Commercial,Commercial,2024-05-08
29,search,United States,LA Times,Snow covers California mountains in July,How much snow still covers California’s mountains this July?,https://www.latimes.com/california/story/2023-07-27/how-much-snow-still-covers-californias-mountains-this-july,Climate and environment,NA,NA,NA,Evidentiary,NA,"Data is used to show a timeline of snow cover on California’s peaks, revealing the anomaly of 2023.","VIS, NIR, TIR","MS, TIR",National Snow Analyses (NSA),NOAA,NOAA,"RGB, NIR, TIR",Public,Public,2023-07-27
30,search,United States,Reveal News,Who is the wet prince of Bel Air?,Who is the wet prince of Bel Air?,https://revealnews.org/article/who-is-the-wet-prince-of-bel-air-here-are-the-likely-culprits/,Urbanism and infrastructure,Climate and environment,NA,NA,Experimental,"Methodology published, and informally reviewed by academics","The analysis identifies the properties using the most water to irrigate by cross referencing the tasseled cap wetness value, derived from the NDVI, with property polygons. The story is based on an original analysis, and the conclusions presented are the output of this analysis, putting the story in the experimental category.","VIS, NIR, Optical","VIS, MS","NDVI, TCW",Landsat,USGS,"RGB, NIR, TIR",Public,Public,2016-09-19
32,search,United States,New York Times,Illegal airstrips in Brazil’s indigenous land,The Illegal Airstrips Bringing Toxic Mining to Brazil’s Indigenous Land,https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html,Extractive industries,Climate and environment,yes,"Rainforest Investigations Network, Pulitzer Center, The Intercept Brasil, Earthrise Media, Socio-Environmental Institute, Hutukara",Hybrid,"Approach broadly outlined in the text, no link to code or methods though. The code, via Amazon Mining Watch, is available on Github.","The NYT doesn’t describe its methodology, but details are available via the Pulitzer Center. Journalists trained a neural net model to spot airstrips in Optical images from Sentinel2. In the presentation of the findings to the audience, the NYT has used high resolution images from Airbus and Planet. The computational proces which identified the airstrips is a machine learning process, but the audience is presented with Optical images, making this a hybrid story.",Optical,VIS,NA,"Sentinel, Planet, Airbus","ESA, Planet, Airbus",RGB,"Public, Commercial",Both,2022-08-02
33,search,United Kingdom,Global Witness,Myanmar's poisoned mountains,Myanmar's poisoned mountains,https://www.globalwitness.org/en/campaigns/natural-resource-governance/myanmars-poisoned-mountains/,Extractive industries,Climate and environment,NA,NA,Investigative,Methodology published,"Journalists first used historical Sentinel 2 data to assess the rate of change in the region, then tasked a Planet satellite to retrieve high resolution images. The mining sites were identified manually, using no computational techniques.",Optical,VIS,NA,"Sentinel, Planet","ESA, Planet",RGB,"Public, Commercial",Both,2022-08-09
36,search,United States,ProPublica,How forest loss can unleash the next pandemic,How Forest Loss Can Unleash the Next Pandemic,https://projects.propublica.org/spillover/,Human health,NA,yes,"University of Maryland, Global Forest Watch",Experimental,Methodology published and linked to a peer reviewed study,"This reporting uses a peer reviewed scientific method to link forest loss and deforestation patterns to disease spillover risk. The analysis is original, classifying this as an experimental story.","VIS, NIR, SWIR, TIR","MS, TIR",UMD Forest Loss Database,Landsat,USGS,"RGB, NIR, SWIR, TIR",Public,Public,2023-03-16
37,search,Ukraine,Texty,Harvest from the occupied territories,Harvest from the occupied territories,https://texty.org.ua/projects/111159/harvest-occupied-territories/,War and conflict,NA,yes,"OneSoil, a private company",Investigative,Crop identification algorithm described but algorithm is proprietary,"Texty partnered with OneSoil, a private company with a proprietary algorithm, as evidence for their story on crop yields in occupied Ukraine. They additionally use high resolution optical data to show the grain trucks. The combination of these sources with ground reporting places this story in the investigative category, but because the analysis is done with a proprietary algorithm it has not been classified as a hybrid or experimental story.","VIS, NR, SWIR, Optical",MS,OneSoil crop classifications,"Sentinel, Planet","ESA, Planet",RGB,"Public, Commercial",Both,2023-11-22
38,search,United Kingdom,Financial Times,How China is tearing down Islam,How China is tearing down Islam,https://ig.ft.com/china-mosques/,Urbanism and infrastructure,NA,NA,NA,Investigative,Methodology published,"Journalists used search resutls from Baidu, Google, and OpenStreetMap to identify mosque sites, and then obtained the images from before and after their renovations from Google Earth. There is no mention of computational methods in the methodology, only manual processing.",Optical,VIS,NA,Google Earth,Google,RGB,Commercial,Commercial,2023-11-27
40,search,United States,Radio Free Europe (Ukraine),Russia's invasion devastated environment in Ukraine,Satellite Images Reveal How Russia's Invasion Has Devastated The Environment In Ukraine,https://www.rferl.org/a/ukraine-satellite-photos-environmental-damage-russia-invasion/32300056.html,War and conflict,Climate and environment,NA,NA,Evidentiary,NA,"The story explores the long term environmental impact of Russian attacks on Ukraine, and uses high resolution optical images as evidence for the claims which are primarily reported from expert and witness testimony",Optical,VIS,NA,"Planet, Maxar","Planet, Maxar",RGB,Commercial,Commercial,2023-03-05
41,search,United States,New York Times,What Ukraine has lost,What Ukraine Has Lost,https://www.nytimes.com/interactive/2024/06/03/world/europe/ukraine-destruction.html,War and conflict,Urbanism and infrastructure,yes,"Corey Scher @ CUNY, Jamon Van Der Hoek @ Oregon State University",Hybrid,"Methodology published, including technical methodology","Scientists partnering with the NYT on the project used interferometric SAR and coherent change detection methods on SAR data from Sentinel 1. The analysis was spot checked using high resolution images from Planet and Maxar. To create the estimates of damaged building, the output of the model was cross referenced with building footprints from OpenStreetMap. The output of thse analyses are the centerpiece of the story, but they’re generated externally by scientists, classifying this story as Hybrid","VIS, SAR","VIS, MW",NA,"Sentinel, Planet, Maxar","ESA, Planet, Maxar",SAR,"Public, Commercial",Both,2024-06-03
42,search,United States,New York Times,Syria after four years of mayhem,Syria After Four Years of Mayhem,https://www.nytimes.com/interactive/2015/03/12/world/middleeast/syria-civil-war-after-four-years-map.html,War and conflict,Urbanism and infrastructure,yes,"Xi Li and Deren Li, Wuhan University, and Rui Zhang, University of Maryland",Hybrid,"The study acknowledges the scientists, but I had to find their paper separately to find out what data they had used.","The story uses Defense Meteorological Satellite Program’s Operational Linescan System data to monitor changes in night light in Syria. The study predates the VIIRS sensors, which would now be preferred. The article uses the scientists’ findings, but there’s no original analysis performed by the NYT for this piece so it’s classified as ‘hybrid’, drawing on science rather than performing it.",OLS,PAN,NA,DMSP,DMSP,PAN,Public,Public,2015-03-12
43,search,United Kingdom,The Guardian,Gaza paramedic killings: visual timeline,The Gaza paramedic killings: a visual timeline,https://www.theguardian.com/world/2025/apr/03/the-gaza-paramedic-killings-a-visual-timeline,War and conflict,NA,NA,NA,Illustrative,NA,"An image is used in the story to show the scene of the attack, however the key evidence is in the photographs, video, and witness testemony. The satellite image serves to tie these pieces of evidence together but is not itself a critical piece of evidence.",Optical,VIS,NA,Planet,Planet,RGB,Commercial,Commercial,2025-04-15
44,search,United States,The Washington Post,Al-Shifa: assault on Gaza’s largest hospital,The case of al-Shifa: Investigating the assault on Gaza’s largest hospital,https://www.washingtonpost.com/world/2023/12/21/al-shifa-hospital-gaza-hamas-israel/,War and conflict,Urbanism and infrastructure,NA,NA,Illustrative,NA,"The piece uses satellite images of Al-Shifa hospital, with damage highlighted, and also as a presentation aid to map the tunnel that was discovered in relation to the Israeli military’s prior claims.",Optical,VIS,NA,"Maxar, Planet","Maxar, Planet",RGB,Commercial,Commercial,2023-12-21
45,search,United States,The Washington Post,Mapping strikes in the Israel-Iran conflict,Mapping strikes in the Israel-Iran conflict,https://www.washingtonpost.com/world/2025/06/18/israel-iran-maps-strikes/,War and conflict,NA,NA,NA,Illustrative,NA,"The story shows two images of the aftermath of US strikes on Iranian nuclear facilities. In this instance I won’t call them evidentiary because the strikes and their targets were announced, these images depict information that is already known.",Optical,VIS,NA,Maxar,Maxar,RGB,Commercial,Commercial,2025-06-24
46,search,United States,Bloomberg,Gaza’s destruction and resilience,Satellite imagery shows Gaza’s destruction and resilience with war unresolved,https://www.bloomberg.com/graphics/2025-gaza-damage-assessment/,War and conflict,Urbanism and infrastructure,yes,"Conflict Ecology Lab (Jamon Van Der Hoek, see 41 What Ukraine Has Lost, same approach to building damage); Cory Scher.",Experimental,Methodology published,"The story combines the same building damage analysis from Conflict Ecology Lab as 41, building footprint data from OpenStreetMap, and also an in-house machine-learning based analysis of high resolution data from Planet to identify tents and structures, thereby mapping population movement. The methodology does not specify which RSEO data source was used for QA’ing the model. The key visual elements in the story are the outputs of these two analyses, one of which was conducted in house, classifying the story as Experimental.","VIS, SAR","VIS, MW",NA,"Sentinel, Planet","ESA, Planet","RGB, SAR","Public, Commercial",Both,2025-05-05
51,search,Qatar,Al Jazeera,Destruction of hospitals in Gaza,Satellite images reveal the destruction of hospitals in Gaza,https://www.aljazeera.com/news/longform/2024/4/18/satellite-images-reveal-israeli-destruction-of-hospitals-in-gaza,War and conflict,Urbanism and infrastructure,NA,NA,Evidentiary,NA,"Journalists analysed satellite images to understand the scale of damage to Gaza’s hospitals. The story presents before and after images of 8 of them, showing the extent of the destruction. The images are presented to support claims of a medical crisis in Gaza and serve as evidence, but no further investigation is conducted.",Optical,VIS,NA,"Maxar, Planet, Airbus","Maxar, Planet, Airbus",RGB,Commercial,Commercial,2024-04-18
52,search,Botswana,Ink,Khama’s Mosu built with public funds,Khama’s Mosu built with public funds,https://inkjournalism.org/1135/exclusive-khamas-mosu-built-with-public-funds/,Urbanism and infrastructure,NA,NA,NA,Evidentiary,NA,Satellite image is the key evidence in the story,Optical,VIS,NA,Maxar,Maxar,RGB,Commercial,Commercial,2017-06-18
53,search,United Kingdom,Reuters,UAE flights supply arms to Sudan rebels,Dozens of UAE flights head to airstrip UN says supplies arms to Sudan rebels,https://www.reuters.com/world/uae-flights-flood-airstrip-un-says-supplies-weapons-sudan-rebels-2024-12-12/,War and conflict,NA,yes,NA,Investigative,NA,"Reuters used analysis from Sudan Conflict Observatory in tandem with flight tracking data, corporate documents analysis, origin verification and both witness and expert testimony.",Optical,VIS,NA,Maxar,Maxar,RGB,Commercial,Commercial,2024-12-12
